"","CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
"86",101,"propMissAct_0.64_autoCorr_0.49","ar1",0.482986538939088,0.0630234678883647,"MAR","dropNA_complete",101
"87",101,"propMissAct_0.64_autoCorr_0.49","intercept",4.2931820020668,0.910836832281467,"MAR","dropNA_complete",101
"88",101,"propMissAct_0.64_autoCorr_0.49","xreg1",1.32501836871504,0.278826900802723,"MAR","dropNA_complete",101
"89",101,"propMissAct_0.64_autoCorr_0.49","xreg2",-1.32244614472844,0.253006807378893,"MAR","dropNA_complete",101
"90",101,"propMissAct_0.64_autoCorr_0.49","sigma",0.53381850074931,NA,"MAR","dropNA_complete",101
"91",101,"propMissAct_0.22_autoCorr_0.5","ar1",0.395448058027375,0.03537163977416,"MAR","Kalman Filter",101
"92",101,"propMissAct_0.22_autoCorr_0.5","intercept",4.6430702790637,0.474887094591302,"MAR","Kalman Filter",101
"93",101,"propMissAct_0.22_autoCorr_0.5","xreg1",1.61942037435569,0.135707745571779,"MAR","Kalman Filter",101
"94",101,"propMissAct_0.22_autoCorr_0.5","xreg2",-1.45733165814247,0.130867081952544,"MAR","Kalman Filter",101
"95",101,"propMissAct_0.22_autoCorr_0.5","sigma",0.612084566288254,NA,"MAR","Kalman Filter",101
"96",101,"propMissAct_0.4_autoCorr_0.54","ar1",0.447949086663709,0.0385742299018699,"MAR","Kalman Filter",101
"97",101,"propMissAct_0.4_autoCorr_0.54","intercept",3.9761831931326,0.531665388447158,"MAR","Kalman Filter",101
"98",101,"propMissAct_0.4_autoCorr_0.54","xreg1",1.58799008869897,0.154541027908711,"MAR","Kalman Filter",101
"99",101,"propMissAct_0.4_autoCorr_0.54","xreg2",-1.26771744146689,0.147524566000308,"MAR","Kalman Filter",101
"100",101,"propMissAct_0.4_autoCorr_0.54","sigma",0.526949633542361,NA,"MAR","Kalman Filter",101
"101",101,"propMissAct_0.64_autoCorr_0.49","ar1",0.45721247057943,0.0515057988144457,"MAR","Kalman Filter",101
"102",101,"propMissAct_0.64_autoCorr_0.49","intercept",3.37540876170425,0.679963371262756,"MAR","Kalman Filter",101
"103",101,"propMissAct_0.64_autoCorr_0.49","xreg1",1.90838947808559,0.185201835037463,"MAR","Kalman Filter",101
"104",101,"propMissAct_0.64_autoCorr_0.49","xreg2",-1.13182238027025,0.188778396002762,"MAR","Kalman Filter",101
"105",101,"propMissAct_0.64_autoCorr_0.49","sigma",0.486387582659449,NA,"MAR","Kalman Filter",101
"106",101,"propMissAct_0.22_autoCorr_0.5","intercept",0.31776263932779,0.0311793392885983,"MAR","Multiple Imputations",101
"107",101,"propMissAct_0.22_autoCorr_0.5","xreg1",4.73186673301673,0.442893074536243,"MAR","Multiple Imputations",101
"108",101,"propMissAct_0.22_autoCorr_0.5","xreg2",1.67687929087295,0.138739733505498,"MAR","Multiple Imputations",101
"109",101,"propMissAct_0.22_autoCorr_0.5","phi",-1.48717615093017,0.119829417180699,"MAR","Multiple Imputations",101
"110",101,"propMissAct_0.22_autoCorr_0.5","sigma",0.655447767517856,NA,"MAR","Multiple Imputations",101
"111",101,"propMissAct_0.4_autoCorr_0.54","intercept",0.285177211125964,0.032635396854192,"MAR","Multiple Imputations",101
"112",101,"propMissAct_0.4_autoCorr_0.54","xreg1",4.29273773801229,0.600953381149632,"MAR","Multiple Imputations",101
"113",101,"propMissAct_0.4_autoCorr_0.54","xreg2",1.74340098047461,0.11800642934635,"MAR","Multiple Imputations",101
"114",101,"propMissAct_0.4_autoCorr_0.54","phi",-1.37463611961189,0.168549281319202,"MAR","Multiple Imputations",101
"115",101,"propMissAct_0.4_autoCorr_0.54","sigma",0.585238810415686,NA,"MAR","Multiple Imputations",101
"116",101,"propMissAct_0.64_autoCorr_0.49","intercept",0.166880720517625,0.0473310626274399,"MAR","Multiple Imputations",101
"117",101,"propMissAct_0.64_autoCorr_0.49","xreg1",4.05459829157756,0.649248322492255,"MAR","Multiple Imputations",101
"118",101,"propMissAct_0.64_autoCorr_0.49","xreg2",2.15673948307712,0.158865451666242,"MAR","Multiple Imputations",101
"119",101,"propMissAct_0.64_autoCorr_0.49","phi",-1.35311403772837,0.189158053887007,"MAR","Multiple Imputations",101
"120",101,"propMissAct_0.64_autoCorr_0.49","sigma",0.606364270135232,NA,"MAR","Multiple Imputations",101
"121",102,"propMissAct_0.18_autoCorr_0.71","ar1",0.421958530287814,0.0330255210393282,"MAR","dropNA_simple",102
"122",102,"propMissAct_0.18_autoCorr_0.71","intercept",4.37640100201877,0.503674504709179,"MAR","dropNA_simple",102
"123",102,"propMissAct_0.18_autoCorr_0.71","xreg1",1.54770822982307,0.144964511235411,"MAR","dropNA_simple",102
"124",102,"propMissAct_0.18_autoCorr_0.71","xreg2",-1.38308322152309,0.139510009462103,"MAR","dropNA_simple",102
"125",102,"propMissAct_0.18_autoCorr_0.71","sigma",0.622847197206698,NA,"MAR","dropNA_simple",102
"126",102,"propMissAct_0.39_autoCorr_0.78","ar1",0.379264918296374,0.0378632666640933,"MAR","dropNA_simple",102
"127",102,"propMissAct_0.39_autoCorr_0.78","intercept",4.2775572608981,0.562944711684072,"MAR","dropNA_simple",102
"128",102,"propMissAct_0.39_autoCorr_0.78","xreg1",1.59361058311501,0.154184899328965,"MAR","dropNA_simple",102
"129",102,"propMissAct_0.39_autoCorr_0.78","xreg2",-1.35741263444906,0.155081090823999,"MAR","dropNA_simple",102
"130",102,"propMissAct_0.39_autoCorr_0.78","sigma",0.623929710233067,NA,"MAR","dropNA_simple",102
"131",102,"propMissAct_0.6_autoCorr_0.76","ar1",0.415067037684043,0.0485610153935425,"MAR","dropNA_simple",102
"132",102,"propMissAct_0.6_autoCorr_0.76","intercept",3.29958581859204,0.661697764304078,"MAR","dropNA_simple",102
"133",102,"propMissAct_0.6_autoCorr_0.76","xreg1",1.72734434871136,0.200498243418752,"MAR","dropNA_simple",102
"134",102,"propMissAct_0.6_autoCorr_0.76","xreg2",-1.10932501617448,0.184280073259559,"MAR","dropNA_simple",102
"135",102,"propMissAct_0.6_autoCorr_0.76","sigma",0.545266930545409,NA,"MAR","dropNA_simple",102
"136",102,"propMissAct_0.18_autoCorr_0.71","ar1",0.408217058276118,0.0347896181818209,"MAR","dropNA_complete",102
"137",102,"propMissAct_0.18_autoCorr_0.71","intercept",4.36716632347019,0.516165948425256,"MAR","dropNA_complete",102
"138",102,"propMissAct_0.18_autoCorr_0.71","xreg1",1.52628653649635,0.15304285795147,"MAR","dropNA_complete",102
"139",102,"propMissAct_0.18_autoCorr_0.71","xreg2",-1.37554184715273,0.143248160363548,"MAR","dropNA_complete",102
"140",102,"propMissAct_0.18_autoCorr_0.71","sigma",0.63057225130093,NA,"MAR","dropNA_complete",102
"141",102,"propMissAct_0.39_autoCorr_0.78","ar1",0.389037452094916,0.0391030777446743,"MAR","dropNA_complete",102
"142",102,"propMissAct_0.39_autoCorr_0.78","intercept",4.4170754615467,0.59394469532202,"MAR","dropNA_complete",102
"143",102,"propMissAct_0.39_autoCorr_0.78","xreg1",1.5500727373948,0.159618099066942,"MAR","dropNA_complete",102
"144",102,"propMissAct_0.39_autoCorr_0.78","xreg2",-1.38712579965712,0.163122946385016,"MAR","dropNA_complete",102
"145",102,"propMissAct_0.39_autoCorr_0.78","sigma",0.618430929158549,NA,"MAR","dropNA_complete",102
"146",102,"propMissAct_0.6_autoCorr_0.76","ar1",0.447697168977931,0.0553155394903321,"MAR","dropNA_complete",102
"147",102,"propMissAct_0.6_autoCorr_0.76","intercept",3.34338718719199,0.725071709176794,"MAR","dropNA_complete",102
"148",102,"propMissAct_0.6_autoCorr_0.76","xreg1",1.63094376035101,0.222186356645748,"MAR","dropNA_complete",102
"149",102,"propMissAct_0.6_autoCorr_0.76","xreg2",-1.10240732636975,0.203525277494748,"MAR","dropNA_complete",102
"150",102,"propMissAct_0.6_autoCorr_0.76","sigma",0.49073534882075,NA,"MAR","dropNA_complete",102
"151",102,"propMissAct_0.18_autoCorr_0.71","ar1",0.415712659326876,0.0331624412605093,"MAR","Kalman Filter",102
"152",102,"propMissAct_0.18_autoCorr_0.71","intercept",4.50005497097231,0.491062977381787,"MAR","Kalman Filter",102
"153",102,"propMissAct_0.18_autoCorr_0.71","xreg1",1.57433704938335,0.142503412607858,"MAR","Kalman Filter",102
"154",102,"propMissAct_0.18_autoCorr_0.71","xreg2",-1.42065365921741,0.136152184943252,"MAR","Kalman Filter",102
"155",102,"propMissAct_0.18_autoCorr_0.71","sigma",0.622943406420387,NA,"MAR","Kalman Filter",102
"156",102,"propMissAct_0.39_autoCorr_0.78","ar1",0.365822717933399,0.0385395443539453,"MAR","Kalman Filter",102
"157",102,"propMissAct_0.39_autoCorr_0.78","intercept",4.44134352631268,0.543885728576721,"MAR","Kalman Filter",102
"158",102,"propMissAct_0.39_autoCorr_0.78","xreg1",1.67605732775143,0.146832109057457,"MAR","Kalman Filter",102
"159",102,"propMissAct_0.39_autoCorr_0.78","xreg2",-1.41612772338434,0.149708919111227,"MAR","Kalman Filter",102
"160",102,"propMissAct_0.39_autoCorr_0.78","sigma",0.627168931150347,NA,"MAR","Kalman Filter",102
"161",102,"propMissAct_0.6_autoCorr_0.76","ar1",0.445794887626989,0.04820601396905,"MAR","Kalman Filter",102
"162",102,"propMissAct_0.6_autoCorr_0.76","intercept",3.47602099550182,0.656622006542749,"MAR","Kalman Filter",102
"163",102,"propMissAct_0.6_autoCorr_0.76","xreg1",1.81043981114696,0.190252132650556,"MAR","Kalman Filter",102
"164",102,"propMissAct_0.6_autoCorr_0.76","xreg2",-1.16845012641042,0.182444130325889,"MAR","Kalman Filter",102
"165",102,"propMissAct_0.6_autoCorr_0.76","sigma",0.524054789620455,NA,"MAR","Kalman Filter",102
"166",102,"propMissAct_0.18_autoCorr_0.71","intercept",0.344717397192151,0.034580932237203,"MAR","Multiple Imputations",102
"167",102,"propMissAct_0.18_autoCorr_0.71","xreg1",4.65181165524709,0.508483638902848,"MAR","Multiple Imputations",102
"168",102,"propMissAct_0.18_autoCorr_0.71","xreg2",1.70171890763097,0.130053019631184,"MAR","Multiple Imputations",102
"169",102,"propMissAct_0.18_autoCorr_0.71","phi",-1.48054180363084,0.139953633714423,"MAR","Multiple Imputations",102
"170",102,"propMissAct_0.18_autoCorr_0.71","sigma",0.66067211755844,NA,"MAR","Multiple Imputations",102
"171",102,"propMissAct_0.39_autoCorr_0.78","intercept",0.226378756249258,0.0345992327529338,"MAR","Multiple Imputations",102
"172",102,"propMissAct_0.39_autoCorr_0.78","xreg1",4.47836427910644,0.442065339056022,"MAR","Multiple Imputations",102
"173",102,"propMissAct_0.39_autoCorr_0.78","xreg2",1.85207375401764,0.129919038843812,"MAR","Multiple Imputations",102
"174",102,"propMissAct_0.39_autoCorr_0.78","phi",-1.45294836628037,0.123582698003778,"MAR","Multiple Imputations",102
"175",102,"propMissAct_0.39_autoCorr_0.78","sigma",0.701760254002123,NA,"MAR","Multiple Imputations",102
"176",102,"propMissAct_0.6_autoCorr_0.76","intercept",0.186946663249791,0.0408980058034376,"MAR","Multiple Imputations",102
"177",102,"propMissAct_0.6_autoCorr_0.76","xreg1",3.87411848896729,0.483401476456787,"MAR","Multiple Imputations",102
"178",102,"propMissAct_0.6_autoCorr_0.76","xreg2",2.03309790844232,0.134215274342333,"MAR","Multiple Imputations",102
"179",102,"propMissAct_0.6_autoCorr_0.76","phi",-1.30476303948828,0.13394985599784,"MAR","Multiple Imputations",102
"180",102,"propMissAct_0.6_autoCorr_0.76","sigma",0.610583952771006,NA,"MAR","Multiple Imputations",102
"181",103,"propMissAct_0.24_autoCorr_0.28","ar1",0.43817112031662,0.0341316077875638,"MAR","dropNA_simple",103
"182",103,"propMissAct_0.24_autoCorr_0.28","intercept",4.10288016184858,0.500693660935591,"MAR","dropNA_simple",103
"183",103,"propMissAct_0.24_autoCorr_0.28","xreg1",1.4604105578584,0.147153349012773,"MAR","dropNA_simple",103
"184",103,"propMissAct_0.24_autoCorr_0.28","xreg2",-1.28412724292808,0.138475528612436,"MAR","dropNA_simple",103
"185",103,"propMissAct_0.24_autoCorr_0.28","sigma",0.575524713672553,NA,"MAR","dropNA_simple",103
"186",103,"propMissAct_0.42_autoCorr_0.22","ar1",0.332803791652761,0.0407076587845815,"MAR","dropNA_simple",103
"187",103,"propMissAct_0.42_autoCorr_0.22","intercept",4.4128923798848,0.545698742435098,"MAR","dropNA_simple",103
"188",103,"propMissAct_0.42_autoCorr_0.22","xreg1",1.59611459175029,0.155275701497856,"MAR","dropNA_simple",103
"189",103,"propMissAct_0.42_autoCorr_0.22","xreg2",-1.40043305814125,0.152325460604585,"MAR","dropNA_simple",103
"190",103,"propMissAct_0.42_autoCorr_0.22","sigma",0.630452203615307,NA,"MAR","dropNA_simple",103
"191",103,"propMissAct_0.63_autoCorr_0.26","ar1",0.401219880988481,0.052556563759419,"MAR","dropNA_simple",103
"192",103,"propMissAct_0.63_autoCorr_0.26","intercept",4.77708508517309,0.733726890464058,"MAR","dropNA_simple",103
"193",103,"propMissAct_0.63_autoCorr_0.26","xreg1",1.51816931881408,0.217981272587934,"MAR","dropNA_simple",103
"194",103,"propMissAct_0.63_autoCorr_0.26","xreg2",-1.47994314532794,0.207164486016108,"MAR","dropNA_simple",103
"195",103,"propMissAct_0.63_autoCorr_0.26","sigma",0.607111497185717,NA,"MAR","dropNA_simple",103
"196",103,"propMissAct_0.24_autoCorr_0.28","ar1",0.440355096445003,0.0378015905351126,"MAR","dropNA_complete",103
"197",103,"propMissAct_0.24_autoCorr_0.28","intercept",4.01641380234432,0.538129472625682,"MAR","dropNA_complete",103
"198",103,"propMissAct_0.24_autoCorr_0.28","xreg1",1.33872309490444,0.163196682691837,"MAR","dropNA_complete",103
"199",103,"propMissAct_0.24_autoCorr_0.28","xreg2",-1.24118019503325,0.148714903220867,"MAR","dropNA_complete",103
"200",103,"propMissAct_0.24_autoCorr_0.28","sigma",0.580771766229687,NA,"MAR","dropNA_complete",103
"201",103,"propMissAct_0.42_autoCorr_0.22","ar1",0.340433129170227,0.0492508361771537,"MAR","dropNA_complete",103
"202",103,"propMissAct_0.42_autoCorr_0.22","intercept",4.07693060996169,0.623678782132054,"MAR","dropNA_complete",103
