"","CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
"157",102,"propMissAct_0.43_autoCorr_0.75","intercept",6.01927474793102,0.759980628927553,"MAR","Kalman Filter",102
"158",102,"propMissAct_0.43_autoCorr_0.75","xreg1",1.71025935914298,0.182037736903045,"MAR","Kalman Filter",102
"159",102,"propMissAct_0.43_autoCorr_0.75","xreg2",-1.85298802469351,0.217621082800806,"MAR","Kalman Filter",102
"160",102,"propMissAct_0.43_autoCorr_0.75","sigma",0.495772508264721,NA,"MAR","Kalman Filter",102
"161",102,"propMissAct_0.64_autoCorr_0.69","ar1",0.229971097797183,0.0686299856444513,"MAR","Kalman Filter",102
"162",102,"propMissAct_0.64_autoCorr_0.69","intercept",6.19251489448207,0.807083755040717,"MAR","Kalman Filter",102
"163",102,"propMissAct_0.64_autoCorr_0.69","xreg1",1.43348940400704,0.218143338303341,"MAR","Kalman Filter",102
"164",102,"propMissAct_0.64_autoCorr_0.69","xreg2",-1.86917292971716,0.226296344800212,"MAR","Kalman Filter",102
"165",102,"propMissAct_0.64_autoCorr_0.69","sigma",0.772902686309779,NA,"MAR","Kalman Filter",102
"166",102,"propMissAct_0.24_autoCorr_0.73","intercept",0.302606433850075,0.039414085196651,"MAR","Multiple Imputations",102
"167",102,"propMissAct_0.24_autoCorr_0.73","xreg1",5.09270223143416,0.549576044136294,"MAR","Multiple Imputations",102
"168",102,"propMissAct_0.24_autoCorr_0.73","xreg2",1.93047069158831,0.145973890941243,"MAR","Multiple Imputations",102
"169",102,"propMissAct_0.24_autoCorr_0.73","phi",-1.62375492340691,0.15362692858286,"MAR","Multiple Imputations",102
"170",102,"propMissAct_0.24_autoCorr_0.73","sigma",0.671481627864735,NA,"MAR","Multiple Imputations",102
"171",102,"propMissAct_0.43_autoCorr_0.75","intercept",0.245649818174977,0.0514282644318388,"MAR","Multiple Imputations",102
"172",102,"propMissAct_0.43_autoCorr_0.75","xreg1",6.94351450898259,0.749522458106398,"MAR","Multiple Imputations",102
"173",102,"propMissAct_0.43_autoCorr_0.75","xreg2",1.78318187928345,0.143213963469876,"MAR","Multiple Imputations",102
"174",102,"propMissAct_0.43_autoCorr_0.75","phi",-2.12896435233209,0.217779992454362,"MAR","Multiple Imputations",102
"175",102,"propMissAct_0.43_autoCorr_0.75","sigma",0.577860968409587,NA,"MAR","Multiple Imputations",102
"176",102,"propMissAct_0.64_autoCorr_0.69","intercept",0.109266119042003,0.0583774946297394,"MAR","Multiple Imputations",102
"177",102,"propMissAct_0.64_autoCorr_0.69","xreg1",6.40261494388893,0.7484213128819,"MAR","Multiple Imputations",102
"178",102,"propMissAct_0.64_autoCorr_0.69","xreg2",1.4736350855456,0.215266476943363,"MAR","Multiple Imputations",102
"179",102,"propMissAct_0.64_autoCorr_0.69","phi",-1.93051127195948,0.209551764607455,"MAR","Multiple Imputations",102
"180",102,"propMissAct_0.64_autoCorr_0.69","sigma",0.7503789643639,NA,"MAR","Multiple Imputations",102
"181",103,"propMissAct_0.24_autoCorr_0.26","ar1",0.353930176765084,0.0439658533971114,"MAR","dropNA_simple",103
"182",103,"propMissAct_0.24_autoCorr_0.26","intercept",5.29109289126844,0.613555434222639,"MAR","dropNA_simple",103
"183",103,"propMissAct_0.24_autoCorr_0.26","xreg1",1.63638570680029,0.168110019851557,"MAR","dropNA_simple",103
"184",103,"propMissAct_0.24_autoCorr_0.26","xreg2",-1.63201288082276,0.173636555804234,"MAR","dropNA_simple",103
"185",103,"propMissAct_0.24_autoCorr_0.26","sigma",0.592244039699041,NA,"MAR","dropNA_simple",103
"186",103,"propMissAct_0.42_autoCorr_0.2","ar1",0.249414638097469,0.0510696320929053,"MAR","dropNA_simple",103
"187",103,"propMissAct_0.42_autoCorr_0.2","intercept",5.27734017493957,0.607606334960973,"MAR","dropNA_simple",103
"188",103,"propMissAct_0.42_autoCorr_0.2","xreg1",2.00009661909048,0.167654936015796,"MAR","dropNA_simple",103
"189",103,"propMissAct_0.42_autoCorr_0.2","xreg2",-1.67326344307366,0.170867707974095,"MAR","dropNA_simple",103
"190",103,"propMissAct_0.42_autoCorr_0.2","sigma",0.587879984805508,NA,"MAR","dropNA_simple",103
"191",103,"propMissAct_0.64_autoCorr_0.22","ar1",0.326554950481883,0.0642287301778162,"MAR","dropNA_simple",103
"192",103,"propMissAct_0.64_autoCorr_0.22","intercept",4.70273730272269,0.751896364797445,"MAR","dropNA_simple",103
"193",103,"propMissAct_0.64_autoCorr_0.22","xreg1",2.12960735666223,0.219484009013742,"MAR","dropNA_simple",103
"194",103,"propMissAct_0.64_autoCorr_0.22","xreg2",-1.5158476536228,0.213958745143661,"MAR","dropNA_simple",103
"195",103,"propMissAct_0.64_autoCorr_0.22","sigma",0.510589590652299,NA,"MAR","dropNA_simple",103
"196",103,"propMissAct_0.24_autoCorr_0.26","ar1",0.324144845453407,0.0479577220463163,"MAR","dropNA_complete",103
